0.1	0
0.108437	0
0.117585	0
0.127505	0
0.138262	0
0.149927	0
0.162576	0
0.176291	0
0.191164	0
0.207292	0
0.224781	0
0.243744	0
0.264308	0
0.286607	0
0.310787	0
0.337006	0
0.365438	0
0.396269	0
0.4297	0.0001
0.465953	0.0001
0.505263	0.0001
0.54789	0.0001
0.594113	0.0001
0.644236	0.0001
0.698588	0.0001
0.757525	0.0001
0.821434	0.0001
0.890735	0.0001
0.965883	0.0001
1.04737	0.0001
1.13573	0.0002
1.23155	0.0002
1.33545	0.0002
1.44812	0.0002
1.57029	0.0002
1.70277	0.0002
1.84642	0.0002
2.0022	0.0002
2.17112	0.0002
2.35429	0.0003
2.55291	0.0003
2.76829	0.0003
3.00184	0.0003
3.25509	0.0004
3.52971	0.0004
3.82749	0.0004
4.1504	0.0004
4.50056	0.0004
4.88025	0.0005
5.29198	0.0006
5.73844	0.0006
6.22257	0.0007
6.74754	0.0007
7.31681	0.0007
7.9341	0.0008
8.60346	0.0009
9.3293	0.001
10.1164	0.001
10.9699	0.0011
11.8953	0.0012
12.8989	0.0013
13.9871	0.0014
15.1672	0.0016
16.4468	0.0017
17.8343	0.0018
19.3389	0.002
20.9705	0.0021
22.7397	0.0023
24.6581	0.0025
26.7384	0.0027
28.9942	0.0029
31.4404	0.0032
34.0929	0.0034
36.9691	0.0037
40.0881	0.004
43.4701	0.0044
47.1375	0.0047
51.1143	0.0051
55.4266	0.0056
60.1028	0.006
65.1734	0.0066
70.6718	0.0071
76.6341	0.0077
83.0994	0.0083
90.1102	0.009
97.7124	0.0098
105.956	0.0106
114.895	0.0115
124.588	0.0125
135.099	0.0135
146.497	0.0147
158.857	0.0159
172.259	0.0173
186.791	0.0187
202.55	0.0203
219.639	0.022
238.169	0.0238
258.262	0.0259
280.05	0.028
303.677	0.0304
329.297	0.033
357.079	0.0357
387.204	0.0387
419.871	0.042
455.294	0.0456
493.705	0.0494
535.357	0.0536
580.523	0.0581
629.499	0.063
682.607	0.0683
740.196	0.074
802.643	0.0803
870.359	0.0871
943.788	0.0944
1023.41	0.1024
1109.75	0.111
1203.38	0.1204
1304.9	0.1305
1414.99	0.1415
1534.37	0.1534
1663.82	0.1664
1804.19	0.1804
1956.4	0.1957
2121.45	0.2122
2300.43	0.2301
2494.51	0.2495
2704.96	0.2705
2933.17	0.2933
3180.63	0.3181
3448.96	0.3449
3739.94	0.374
4055.46	0.4055
4397.6	0.4397
4768.61	0.4769
5170.92	0.5171
5607.17	0.5607
6080.22	0.608
6593.19	0.6593
7149.43	0.7149
7752.6	0.7752
8406.65	0.8406
9115.89	0.9115
9884.96	0.9884
10718.9	1
11623.2	1
12603.8	1
13667.2	1
14820.2	1
16070.5	1
17426.3	1
18896.5	1
20490.7	1
22219.5	1
24094	1
26126.8	1
28331	1
30721.1	1
33312.9	1
36123.4	1
39171	1
42475.7	1
46059.2	1
49945.1	1
54158.7	1
58727.9	1
63682.5	1
69055.1	1
74881	1
81198.4	1
88048.8	1
95477.2	1
103532	1
112267	1
121738	1
132009	1
143146	1
155223	1
168318	1
182518	1
197917	1
214614	1
232720	1
252354	1
273644	1
296730	1
321764	1
348910	1
378346	1
410266	1
444878	1
482411	1
523110	1
567243	1
615099	1
666992	1
723263	1
784282	1
850449	1
922198	1
1e+06	1
