time,particle_id,x,y,mesh_index
4000,3900,-999,-999,-1
4000,3901,-999,-999,-1
4000,3902,-999,-999,-1
4000,3903,-999,-999,-1
4000,3904,-999,-999,-1
4000,3905,-999,-999,-1
4000,3906,-999,-999,-1
4000,3907,-999,-999,-1
4000,3908,-999,-999,-1
4000,3909,-999,-999,-1
4000,3910,-999,-999,-1
4000,3911,-999,-999,-1
4000,3912,-999,-999,-1
4000,3913,-999,-999,-1
4000,3914,-999,-999,-1
4000,3915,-999,-999,-1
4000,3916,-999,-999,-1
4000,3917,-999,-999,-1
4000,3918,-999,-999,-1
4000,3919,-999,-999,-1
4000,3920,-999,-999,-1
4000,3921,-999,-999,-1
4000,3922,-999,-999,-1
4000,3923,-999,-999,-1
4000,3924,-999,-999,-1
4000,3925,-999,-999,-1
4000,3926,-999,-999,-1
4000,3927,-999,-999,-1
4000,3928,-999,-999,-1
4000,3929,-999,-999,-1
4000,3930,-999,-999,-1
4000,3931,-999,-999,-1
4000,3932,-999,-999,-1
4000,3933,-999,-999,-1
4000,3934,-999,-999,-1
4000,3935,-999,-999,-1
4000,3936,-999,-999,-1
4000,3937,-999,-999,-1
4000,3938,-999,-999,-1
4000,3939,-999,-999,-1
4000,3940,-999,-999,-1
4000,3941,-999,-999,-1
4000,3942,-999,-999,-1
4000,3943,-999,-999,-1
4000,3944,-999,-999,-1
4000,3945,-999,-999,-1
4000,3946,-999,-999,-1
4000,3947,-999,-999,-1
4000,3948,-999,-999,-1
4000,3949,-999,-999,-1
4000,3950,-999,-999,-1
4000,3951,-999,-999,-1
4000,3952,-999,-999,-1
4000,3953,-999,-999,-1
4000,3954,-999,-999,-1
4000,3955,-999,-999,-1
4000,3956,-999,-999,-1
4000,3957,-999,-999,-1
4000,3958,-999,-999,-1
4000,3959,-999,-999,-1
4000,3960,-999,-999,-1
4000,3961,-999,-999,-1
4000,3962,-999,-999,-1
4000,3963,-999,-999,-1
4000,3964,-999,-999,-1
4000,3965,-999,-999,-1
4000,3966,-999,-999,-1
4000,3967,-999,-999,-1
4000,3968,-999,-999,-1
4000,3969,-999,-999,-1
4000,3970,-999,-999,-1
4000,3971,-999,-999,-1
4000,3972,-999,-999,-1
4000,3973,-999,-999,-1
4000,3974,-999,-999,-1
4000,3975,-999,-999,-1
4000,3976,-999,-999,-1
4000,3977,-999,-999,-1
4000,3978,-999,-999,-1
4000,3979,-999,-999,-1
4000,3980,-999,-999,-1
4000,3981,-999,-999,-1
4000,3982,-999,-999,-1
4000,3983,-999,-999,-1
4000,3984,-999,-999,-1
4000,3985,-999,-999,-1
4000,3986,-999,-999,-1
4000,3987,-999,-999,-1
4000,3988,-999,-999,-1
4000,3989,-999,-999,-1
4000,3990,-999,-999,-1
4000,3991,-999,-999,-1
4000,3992,-999,-999,-1
4000,3993,-999,-999,-1
4000,3994,-999,-999,-1
4000,3995,-999,-999,-1
4000,3996,-999,-999,-1
4000,3997,-999,-999,-1
4000,3998,-999,-999,-1
4000,3999,-999,-999,-1
