0.0001	0
0.000132194	0
0.000174753	0
0.000231013	0
0.000305386	0
0.000403702	0
0.00053367	0
0.00070548	0
0.000932603	0
0.00123285	0
0.00162975	0
0.00215443	0
0.00284804	0
0.00376494	0
0.00497702	0
0.00657933	0
0.00869749	0
0.0114976	0
0.0151991	0.0001
0.0200923	0.0001
0.0265609	0.0001
0.0351119	0.0001
0.0464159	0.0001
0.0613591	0.0001
0.0811131	0.0001
0.107227	0.0001
0.141747	0.0001
0.187382	0.0001
0.247708	0.0001
0.327455	0.0001
0.432876	0.0001
0.572237	0.0001
0.756463	0.0001
1	0.0001
1.32194	0.0002
1.74753	0.0002
2.31013	0.0003
3.05386	0.0004
4.03702	0.0004
5.3367	0.0006
7.0548	0.0008
9.32603	0.001
12.3285	0.0013
16.2975	0.0017
21.5443	0.0022
28.4804	0.0029
37.6494	0.0038
49.7702	0.005
65.7933	0.0066
86.9749	0.0087
114.976	0.0115
151.991	0.0152
200.923	0.0201
265.609	0.0266
351.119	0.0352
464.159	0.0465
613.591	0.0614
811.131	0.0812
1072.27	0.1073
1417.47	0.1418
1873.82	0.1874
2477.08	0.2477
3274.55	0.3275
4328.76	0.4329
5722.37	0.5722
7564.63	0.7564
10000	0.9999
13219.4	1
17475.3	1
23101.3	1
30538.6	1
40370.2	1
53367	1
70548	1
93260.3	1
123285	1
162975	1
215443	1
284804	1
376494	1
497702	1
657933	1
869749	1
1.14976e+06	1
1.51991e+06	1
2.00923e+06	1
2.65609e+06	1
3.51119e+06	1
4.64159e+06	1
6.13591e+06	1
8.11131e+06	1
1.07227e+07	1
1.41747e+07	1
1.87382e+07	1
2.47708e+07	1
3.27455e+07	1
4.32876e+07	1
5.72237e+07	1
7.56463e+07	1
1e+08	1
