time,particle_id,x,y,mesh_index,mesh_index_original
1e+06,997280,0.00133683,-0.00133918,2460,592
1e+06,999400,0.00122397,-0.00137382,519,590
1e+06,999465,0.00106486,-0.0013719,1920,297
1e+06,999655,0.00316506,-0.000384032,2417,4031
1e+06,999685,-0.000534624,-0.00103895,3923,2992
1e+06,999740,0.000763216,-0.00115957,271,300
1e+06,999750,0.00155661,-0.000192216,2679,756
1e+06,999795,0.00360486,-0.00011988,1400,1611
1e+06,999805,0.00331,-0.000521665,2410,2600
1e+06,999810,0.00330607,-0.000710745,1095,1267
1e+06,999830,0.00110799,-0.00132304,2894,3062
1e+06,999833,0.00119616,-0.00129124,3356,3502
1e+06,999855,0.00132462,-0.00119591,545,625
1e+06,999860,0.000977494,-0.00114243,964,1117
1e+06,999863,0.00084813,-0.000956625,845,970
1e+06,999865,0.0012821,-0.00120934,545,625
1e+06,999875,0.000778536,-0.000855023,108,118
1e+06,999885,-0.00072519,-0.000212028,2650,2696
1e+06,999890,0.0033512,-0.0004891,3924,2602
1e+06,999901,0.00301267,7.50635e-05,4069,4163
1e+06,999902,0.00163302,0.00119632,3098,1171
1e+06,999905,0.00211343,-0.000447858,1476,1698
1e+06,999906,0.00162957,0.000586794,3510,3648
1e+06,999915,0.00278225,0.000185728,3075,3239
1e+06,999916,0.000495564,0.000315964,3357,1473
1e+06,999919,0.00277719,0.000188,836,3238
1e+06,999920,-0.000718984,-0.000155114,2646,2819
1e+06,999921,0.00318918,-0.00047907,3437,3578
1e+06,999925,0.00252783,0.000219321,4238,4323
1e+06,999927,0.00175121,0.000603398,3306,3452
1e+06,999930,-0.000692095,-0.000989949,1370,549
1e+06,999932,0.00154936,0.00100838,3272,3418
1e+06,999933,0.00159515,0.000771265,80,1919
1e+06,999934,0.00154732,0.00105846,3276,3422
1e+06,999935,-0.000320507,-0.000636141,486,2483
1e+06,999936,0.00117496,0.000374831,1888,3847
1e+06,999937,0.0010015,0.000468779,3586,3716
1e+06,999938,0.00112706,0.00120378,2505,2684
1e+06,999939,0.00118855,0.00116055,1045,1211
1e+06,999940,-0.000808877,-0.000250192,4001,2825
1e+06,999941,0.00146569,0.00106657,3274,3420
1e+06,999942,0.00132451,0.000294633,161,3139
1e+06,999943,0.00137113,0.000387436,4007,3130
1e+06,999944,0.00101705,0.000552363,3615,3743
1e+06,999945,-0.000676173,-7.28566e-05,1222,1411
1e+06,999946,-0.000281137,0.00033551,1265,1460
1e+06,999947,0.00113192,0.00117918,2590,2767
1e+06,999948,0.00052862,0.000253199,473,2316
1e+06,999949,0.000767547,0.000465629,721,242
1e+06,999950,0.000324439,-0.000198682,3291,3435
1e+06,999951,0.00140596,0.000756511,3868,3977
1e+06,999952,0.000244786,0.000311162,782,903
1e+06,999953,0.000873461,0.000634258,1619,1851
1e+06,999954,0.000900145,0.000459119,558,638
1e+06,999955,-0.00075227,0.000163889,3046,2620
1e+06,999956,-0.000338788,0.000430859,4369,4445
1e+06,999957,-0.000403741,0.00107288,1126,1304
1e+06,999958,-0.000219024,0.000731315,1044,1210
1e+06,999959,-0.000253654,0.000744702,1043,1209
1e+06,999960,-0.000763165,-0.000130426,637,731
1e+06,999961,4.28745e-05,0.000105316,4035,2930
1e+06,999962,-0.000896024,0.000725299,1648,1877
1e+06,999963,0.00017557,0.000322936,655,752
1e+06,999964,-0.00136463,0.000716828,3116,3276
1e+06,999965,-0.00166621,-0.00013169,644,4108
1e+06,999966,-0.0025802,0.000793214,3831,2957
1e+06,999967,-0.00130645,0.00107574,3191,3343
1e+06,999968,-0.0013137,0.0010811,3191,3343
1e+06,999969,0.000679021,0.000912887,3092,1160
1e+06,999970,-0.0016349,-0.000407896,889,1029
1e+06,999971,-0.00167975,0.000500927,2269,2248
1e+06,999972,-0.000865759,0.00101751,1589,1821
1e+06,999973,-0.00139005,0.000921811,3009,3172
1e+06,999974,-0.00111948,0.000788624,1846,2069
1e+06,999975,-0.00347288,-0.00187271,1123,1301
1e+06,999976,-0.00169701,0.00061251,2897,3067
1e+06,999977,-0.00168813,0.00054578,229,249
1e+06,999978,-0.0020567,0.000770138,4172,4261
1e+06,999979,-0.00161084,0.000893994,895,1035
1e+06,999980,-0.00227592,-0.000570421,952,3688
1e+06,999981,-0.00222642,0.000489273,1000,1157
1e+06,999982,-0.00129992,0.00126571,740,852
1e+06,999983,-0.00183583,0.00119319,3612,3740
1e+06,999984,-0.00206409,0.000737866,1147,4198
1e+06,999985,-0.00263937,-0.00155259,1418,380
1e+06,999986,-0.0020293,0.00117944,2012,2223
1e+06,999987,-0.00236617,0.00106949,3534,2362
1e+06,999988,-0.00276075,0.000969931,1362,1569
1e+06,999989,-0.00239378,0.00106726,1478,1700
1e+06,999990,-0.00295291,-0.00174097,6,1199
1e+06,999991,-0.00301647,0.00125134,682,785
1e+06,999992,-0.00249806,0.0012252,2203,2400
1e+06,999993,-0.00295634,0.00125,3340,3488
1e+06,999994,-0.00248786,0.00128947,2203,2400
