time,particle_id,x,y,mesh_index
6000,5900,-999,-999,-1
6000,5901,-999,-999,-1
6000,5902,-999,-999,-1
6000,5903,-999,-999,-1
6000,5904,-999,-999,-1
6000,5905,-999,-999,-1
6000,5906,-999,-999,-1
6000,5907,-999,-999,-1
6000,5908,-999,-999,-1
6000,5909,-999,-999,-1
6000,5910,-999,-999,-1
6000,5911,-999,-999,-1
6000,5912,-999,-999,-1
6000,5913,-999,-999,-1
6000,5914,-999,-999,-1
6000,5915,-999,-999,-1
6000,5916,-999,-999,-1
6000,5917,-999,-999,-1
6000,5918,-999,-999,-1
6000,5919,-999,-999,-1
6000,5920,-999,-999,-1
6000,5921,-999,-999,-1
6000,5922,-999,-999,-1
6000,5923,-999,-999,-1
6000,5924,-999,-999,-1
6000,5925,-999,-999,-1
6000,5926,-999,-999,-1
6000,5927,-999,-999,-1
6000,5928,-999,-999,-1
6000,5929,-999,-999,-1
6000,5930,-999,-999,-1
6000,5931,-999,-999,-1
6000,5932,-999,-999,-1
6000,5933,-999,-999,-1
6000,5934,-999,-999,-1
6000,5935,-999,-999,-1
6000,5936,-999,-999,-1
6000,5937,-999,-999,-1
6000,5938,-999,-999,-1
6000,5939,-999,-999,-1
6000,5940,-999,-999,-1
6000,5941,-999,-999,-1
6000,5942,-999,-999,-1
6000,5943,-999,-999,-1
6000,5944,-999,-999,-1
6000,5945,-999,-999,-1
6000,5946,-999,-999,-1
6000,5947,-999,-999,-1
6000,5948,-999,-999,-1
6000,5949,-999,-999,-1
6000,5950,-999,-999,-1
6000,5951,-999,-999,-1
6000,5952,-999,-999,-1
6000,5953,-999,-999,-1
6000,5954,-999,-999,-1
6000,5955,-999,-999,-1
6000,5956,-999,-999,-1
6000,5957,-999,-999,-1
6000,5958,-999,-999,-1
6000,5959,-999,-999,-1
6000,5960,-999,-999,-1
6000,5961,-999,-999,-1
6000,5962,-999,-999,-1
6000,5963,-999,-999,-1
6000,5964,-999,-999,-1
6000,5965,-999,-999,-1
6000,5966,-999,-999,-1
6000,5967,-999,-999,-1
6000,5968,-999,-999,-1
6000,5969,-999,-999,-1
6000,5970,-999,-999,-1
6000,5971,-999,-999,-1
6000,5972,-999,-999,-1
6000,5973,-999,-999,-1
6000,5974,-999,-999,-1
6000,5975,-999,-999,-1
6000,5976,-999,-999,-1
6000,5977,-999,-999,-1
6000,5978,-999,-999,-1
6000,5979,-999,-999,-1
6000,5980,-999,-999,-1
6000,5981,-999,-999,-1
6000,5982,-999,-999,-1
6000,5983,-999,-999,-1
6000,5984,-999,-999,-1
6000,5985,-999,-999,-1
6000,5986,-999,-999,-1
6000,5987,-999,-999,-1
6000,5988,-999,-999,-1
6000,5989,-999,-999,-1
6000,5990,-999,-999,-1
6000,5991,-999,-999,-1
6000,5992,-999,-999,-1
6000,5993,-999,-999,-1
6000,5994,-999,-999,-1
6000,5995,-999,-999,-1
6000,5996,-999,-999,-1
6000,5997,-999,-999,-1
6000,5998,-999,-999,-1
6000,5999,-999,-999,-1
