0.1	0
0.108437	0
0.117585	0
0.127505	0
0.138262	0
0.149927	0
0.162576	0
0.176291	0
0.191164	0
0.207292	0
0.224781	0
0.243744	0
0.264308	0
0.286607	0
0.310787	0
0.337006	0
0.365438	0
0.396269	0
0.4297	0
0.465953	0
0.505263	0
0.54789	0
0.594113	0
0.644236	0
0.698588	0
0.757525	0
0.821434	0
0.890735	0
0.965883	0
1.04737	0
1.13573	0
1.23155	0
1.33545	0
1.44812	0
1.57029	0
1.70277	0
1.84642	0
2.0022	0
2.17112	0
2.35429	0
2.55291	0
2.76829	0
3.00184	0
3.25509	0
3.52971	0
3.82749	0
4.1504	0
4.50056	0
4.88025	0
5.29198	0
5.73844	0
6.22257	0
6.74754	0
7.31681	0
7.9341	0
8.60346	0
9.3293	0
10.1164	0
10.9699	0
11.8953	0
12.8989	0
13.9871	0
15.1672	0
16.4468	0
17.8343	0
19.3389	0
20.9705	0
22.7397	0
24.6581	0
26.7384	0
28.9942	0
31.4404	0
34.0929	0
36.9691	0
40.0881	0
43.4701	0
47.1375	0
51.1143	0
55.4266	0
60.1028	0
65.1734	0
70.6718	0
76.6341	0
83.0994	0
90.1102	0
97.7124	0
105.956	0
114.895	0
124.588	0
135.099	1.00006e-05
146.497	1.00006e-05
158.857	2.00012e-05
172.259	2.00012e-05
186.791	4.00024e-05
202.55	4.00024e-05
219.639	4.00024e-05
238.169	6.00036e-05
258.262	8.00048e-05
280.05	0.000100006
303.677	0.000130008
329.297	0.00017001
357.079	0.000180011
387.204	0.000200012
419.871	0.000260016
455.294	0.000310019
493.705	0.00034002
535.357	0.000380023
580.523	0.000420025
629.499	0.000450027
682.607	0.000520031
740.196	0.000550033
802.643	0.000600036
870.359	0.00067004
943.788	0.000760046
1023.41	0.000810049
1109.75	0.000880053
1203.38	0.000980059
1304.9	0.00110007
1414.99	0.00123007
1534.37	0.00137008
1663.82	0.00150009
1804.19	0.0016301
1956.4	0.00178011
2121.45	0.00195012
2300.43	0.00211013
2494.51	0.00235014
2704.96	0.00250015
2933.17	0.00272016
3180.63	0.00298018
3448.96	0.00321019
3739.94	0.00352021
4055.46	0.00384023
4397.6	0.00421025
4768.61	0.00453027
5170.92	0.0049303
5607.17	0.00542033
6080.22	0.00586035
6593.19	0.00639038
7149.43	0.00694042
7752.6	0.00751045
8406.65	0.00818049
9115.89	0.00886053
9884.96	0.00966058
10718.9	0.0105006
11623.2	0.0113607
12603.8	0.0123507
13667.2	0.0134408
14820.2	0.0145909
16070.5	0.015851
17426.3	0.017211
18896.5	0.0186611
20490.7	0.0202612
22219.5	0.0220013
24094	0.0238314
26126.8	0.0258816
28331	0.0281317
30721.1	0.0305018
33312.9	0.033102
36123.4	0.0359222
39171	0.0389623
42475.7	0.0422825
46059.2	0.0458327
49945.1	0.049733
54158.7	0.0539532
58727.9	0.0585135
63682.5	0.0634938
69055.1	0.0688241
74881	0.0746745
81198.4	0.0810049
88048.8	0.0878353
95477.2	0.0952857
103532	0.103306
112267	0.112067
121738	0.121527
132009	0.131838
143146	0.142929
155223	0.155009
168318	0.16812
182518	0.182321
197917	0.197702
214614	0.214453
232720	0.232544
252354	0.252155
273644	0.273446
296730	0.296548
321764	0.321589
348910	0.348751
378346	0.378173
410266	0.410085
444878	0.444697
482411	0.482259
523110	0.522971
567243	0.567114
615099	0.614997
666992	0.66688
723263	0.723143
784282	0.784187
850449	0.850351
922198	0.922125
1e+06	0.99993
