time,particle_id,x,y,mesh_index,mesh_index_original
400000,39970,0.00326415,-0.000529332,1376,1562
400000,39977,0.00307959,0.000385994,2779,909
400000,39980,0.00180243,-5.40866e-05,347,385
400000,39981,-0.000242673,-0.000536009,839,886
400000,39982,0.000640726,-0.000793932,923,1054
400000,39983,0.00106252,0.00120095,1235,1406
400000,39984,0.00103571,0.00126802,3183,3290
400000,39985,0.00270338,9.63169e-05,3125,3240
400000,39986,0.0016163,0.000957293,745,853
400000,39987,0.00148676,0.00105191,3325,3420
400000,39988,0.00298305,-0.000310766,4172,4203
400000,39989,0.00133522,0.00111541,2619,2759
