file
568
1.42E-03	1.43E-04	2.89E-03	-1.37E-03	0.000131667
2.23E-03	1.79E-03	8.33E-04	2.93E-04	0.0001302
2.23E-03	4.28E-04	3.73E-03	-6.23E-04	0.000137368
-8.93E-04	1.64E-03	-1.93E-03	3.23E-04	0.000107143
-2.18E-03	1.43E-03	-6.38E-04	9.83E-04	0.000145
-2.87E-03	1.66E-03	-1.43E-03	1.01E-03	0.000118571
8.33E-04	7.13E-04	2.02E-03	-3.23E-04	0.00012225
-2.80E-03	1.69E-03	-1.69E-03	5.78E-04	0.00012
4.28E-04	1.21E-03	1.37E-03	-7.50E-06	0.000154688
-6.68E-04	9.23E-04	-2.06E-03	2.78E-04	0.000136429
2.48E-03	6.68E-04	1.73E-03	-6.38E-04	0.000149211
-2.12E-03	9.83E-04	-6.53E-04	6.98E-04	0.000155833
-9.98E-04	1.15E-03	5.25E-05	9.75E-05	0.000111429
1.96E-03	1.15E-03	9.08E-04	9.75E-05	0.000109167
2.27E-03	1.28E-03	1.10E-03	3.98E-04	0.000136765
-1.09E-03	1.37E-03	-1.39E-03	-2.25E-05	0.000130435
1.43E-04	-4.13E-04	-8.93E-04	-1.37E-03	0.00011625
2.57E-03	2.44E-03	1.57E-03	1.48E-03	0.000110294
3.02E-03	5.78E-04	3.43E-03	-7.43E-04	0.000167368
2.66E-03	4.88E-04	3.17E-03	-7.73E-04	0.000165
-1.25E-03	6.98E-04	-1.79E-03	-5.48E-04	0.000118571
4.73E-04	-5.78E-04	1.48E-03	-1.45E-03	0.000135882
-9.98E-04	2.60E-03	-1.87E-03	1.63E-03	0.00011625
-3.64E-03	1.55E-03	-2.42E-03	1.09E-03	0.000186429
-1.01E-03	1.43E-03	2.25E-05	7.43E-04	0.000116429
2.62E-03	-9.75E-05	3.65E-03	-7.88E-04	0.0001725
8.93E-04	7.58E-04	1.84E-03	-3.75E-05	0.0001425
-3.17E-03	1.76E-03	-2.53E-03	7.13E-04	0.000160263
-1.03E-03	8.33E-04	-2.15E-03	3.68E-04	0.000137727
-2.38E-03	2.72E-03	-1.27E-03	2.23E-03	0.000115263
1.94E-03	8.78E-04	1.06E-03	5.25E-05	0.0000948
1.28E-03	5.48E-04	4.43E-04	-3.23E-04	0.000109286
-1.88E-04	3.98E-04	-1.04E-03	-4.58E-04	0.000105
-2.03E-03	1.31E-03	-1.22E-03	4.43E-04	0.000117857
7.58E-04	-1.12E-03	1.78E-03	-1.72E-03	0.000122368
-1.72E-03	1.31E-03	-7.73E-04	6.38E-04	0.000138
-2.32E-03	-6.83E-04	-2.77E-03	-1.75E-03	0.000132273
7.73E-04	-9.53E-04	1.67E-03	-1.67E-03	0.000129231
1.06E-03	-1.13E-04	2.14E-03	-4.88E-04	9.41667E-05
2.29E-03	2.36E-03	1.54E-03	1.51E-03	0.00012975
-2.20E-03	3.08E-04	-3.25E-03	-1.28E-04	8.11765E-05
1.34E-03	-8.63E-04	3.23E-04	-1.36E-03	0.000093
-8.78E-04	1.21E-03	-2.33E-04	2.78E-04	0.00009675
-2.05E-03	1.21E-03	-1.13E-03	5.48E-04	0.000121364
7.43E-04	5.18E-04	1.73E-03	-7.50E-06	0.000121429
