# time=800000
x1 y1 x2 y2 aperture velocity
0.0451954 -0.00691014 0.05 -0.010437 7.22254e-05 0.047728
0.0440694 -0.0250904 0.05 -0.0303778 0.000179345 0.308856
-0.05 0.000316541 -0.0492208 0.00010652 2.22582e-05 0.00387105
-0.05 -0.0312056 -0.04959 -0.0314953 0.000346095 0.427281
0.0474957 0.00801726 0.05 0.0066314 0.000111713 0.166944
0.0458809 0.000579001 0.05 -0.00302134 0.000203968 0.386638
-0.05 0.0299759 -0.0423835 0.0272751 0.000130255 0.123129
-0.05 -0.0125039 -0.0445168 -0.0139297 4.557e-05 0.014139
0.0450408 -0.0429945 0.05 -0.0416201 0.000103523 0.172816
0.0483535 0.0315485 0.05 0.0347524 3.81963e-05 0.00934322
-0.05 -0.043985 -0.0489825 -0.0437807 0.000111137 0.0430441
-0.05 0.0229315 -0.0470415 0.0214348 3.11145e-05 0.00676541
-0.05 0.0272741 -0.0491836 0.0265087 0.00013744 0.107508
-0.05 -0.00702845 -0.0488496 -0.00688577 9.53826e-05 0.076065
0.0497351 -0.0141077 0.05 -0.014426 3.08227e-05 0.00846849
0.0490599 0.0294953 0.05 0.0313998 7.49258e-05 0.0652643
-0.05 0.025353 -0.0484341 0.0247334 0.000117478 0.100051
-0.05 0.0444191 -0.0461801 0.0430894 0.000229621 0.359354
-0.05 0.0366396 -0.0456549 0.0355815 0.000117582 0.0979177
-0.05 0.0132453 -0.0445801 0.0116886 6.46759e-05 0.0320566
-0.05 0.00378124 -0.0477786 0.00321183 2.26532e-05 0.00403542
0.0487448 0.0137711 0.05 0.0195529 7.51105e-05 0.0319497
-0.05 -0.0286948 -0.0496576 -0.0281995 4.88291e-05 0.00817171
-0.05 -0.0319792 -0.04959 -0.0314953 0.000241803 0.165117
-0.05 0.0181997 -0.0450451 0.0167061 0.000401048 1.21579
-0.05 -0.027879 -0.0496576 -0.0281995 0.000101904 0.0456867
-0.05 -0.00799343 -0.0488104 -0.00692954 0.000175914 0.194295
-0.05 -0.00560268 -0.0488496 -0.00688577 4.70573e-05 0.0124536
0.0487448 0.0137711 0.05 0.0125904 7.55244e-05 0.110908
-0.05 -0.0440359 -0.0489825 -0.0437807 9.49983e-05 0.0311147
-0.05 -0.0299924 -0.048906 -0.0306882 0.000111018 0.0567698
-0.05 0.0415005 -0.0461801 0.0430894 3.30736e-05 0.00728885
0.0487049 -0.045513 0.05 -0.044689 8.05851e-05 0.0986939
-0.05 -0.00877678 -0.043752 -0.0127503 2.93384e-05 0.0051701
-0.05 0.0282563 -0.0498682 0.0281304 9.39689e-05 0.0497552
-0.05 0.0205776 -0.046767 0.0192695 8.39527e-05 0.0513598
0.0490599 0.0294953 0.05 0.0289434 3.73927e-05 0.031671
0.0429283 0.0469867 0.05 0.046622 3.09271e-05 0.0216894
-0.05 0.0460933 -0.0454404 0.043397 0.000354014 0.778602
-0.05 0.0312895 -0.0478601 0.0334032 7.04298e-05 0.0268853
-0.05 -0.0223847 -0.0496305 -0.0218149 6.2024e-05 0.01379
-0.05 -0.0217817 -0.0496305 -0.0218149 9.94754e-05 0.0649297
-0.05 -0.042295 -0.0415735 -0.0391628 5.9064e-05 0.0118341
-0.05 -0.0172255 -0.046632 -0.0171913 0.000118981 0.0959417
0.045562 0.0167649 0.05 0.0207749 4.36044e-05 0.0487436
-0.05 0.0188521 -0.046767 0.0192695 7.5305e-05 0.0442118
-0.05 0.0284425 -0.0498682 0.0281304 7.75606e-05 0.0182314
-0.05 -0.00113541 -0.0496922 -0.00090852 5.57651e-05 0.0203228
-0.05 -0.0295837 -0.0491403 -0.0286839 6.98474e-05 0.020216
-0.05 0.00679775 -0.0467291 0.00547152 0.000203804 0.312708
-0.05 -0.00157119 -0.0496922 -0.00090852 0.000454732 0.707099
-0.05 0.00801144 -0.0487116 0.00888555 0.000158049 0.16391
-0.05 -0.0198161 -0.0485748 -0.0201871 2.09342e-05 0.00284699
0.0499279 -0.0189695 0.05 -0.0190787 0.000344282 1.09361
-0.05 0.00923248 -0.0487116 0.00888555 2.40464e-05 0.00442739
-0.0228246 0.0430204 -0.0224412 0.042739 5.17959e-05 0.0235487
-0.0228816 0.0437668 -0.0224412 0.042739 0.000111777 0.0601578
0.0151602 0.0151374 0.0232593 0.00919225 5.68193e-05 0.0189252
0.0205138 0.0170522 0.0232593 0.00919225 0.0003296 0.64553
0.0348415 0.000690202 0.0369482 -0.000856241 6.32279e-05 0.0276455
0.0369482 -0.000856241 0.0382767 -0.00132731 0.000166016 0.191597
0.0389228 -0.00230569 0.0414656 -0.00417222 7.24416e-05 0.0429515
0.0394415 -0.00174035 0.0414656 -0.00417222 3.87879e-05 0.00988275
0.0414656 -0.00417222 0.0443843 -0.00631477 7.11774e-05 0.0447127
0.0441726 -0.00729034 0.0443843 -0.00631477 0.000103935 0.0241732
0.0443843 -0.00631477 0.0451954 -0.00691014 7.13308e-05 0.0451505
0.0451954 -0.00691014 0.0495041 -0.00530858 8.54141e-05 0.0775881
-0.0166485 0.0290429 -0.0165246 0.0289324 0.000180765 0.225763
-0.0166024 0.029114 -0.0165246 0.0289324 0.000128572 0.061672
0.0438103 -0.0248594 0.0439864 -0.0250164 0.000184952 0.317824
0.0439864 -0.0250164 0.0441792 -0.0250683 2.85204e-05 0.00994732
0.0439864 -0.0250164 0.0440694 -0.0250904 0.000184999 0.317685
