time,particle_id,x,y,mesh_index
1000,900,-0.00373,-0.00164,0
1000,901,-0.00373,-0.00164,0
1000,902,-0.00373,-0.00164,0
1000,903,-0.00373,-0.00164,0
1000,904,-0.00373,-0.00164,0
1000,905,-0.00373,-0.00164,0
1000,906,-0.00373,-0.00164,0
1000,907,-0.00373,-0.00164,0
1000,908,-0.00373,-0.00164,0
1000,909,-0.00373,-0.00164,0
1000,910,-0.00373,-0.00164,0
1000,911,-0.00373,-0.00164,0
1000,912,-0.00373,-0.00164,0
1000,913,-0.00373,-0.00164,0
1000,914,-0.00373,-0.00164,0
1000,915,-0.00373,-0.00164,0
1000,916,-0.00373,-0.00164,0
1000,917,-0.00373,-0.00164,0
1000,918,-0.00373,-0.00164,0
1000,919,-0.00373,-0.00164,0
1000,920,-0.00373,-0.00164,0
1000,921,-0.00373,-0.00164,0
1000,922,-0.00373,-0.00164,0
1000,923,-0.00373,-0.00164,0
1000,924,-0.00373,-0.00164,0
1000,925,-0.00373,-0.00164,0
1000,926,-0.00373,-0.00164,0
1000,927,-0.00373,-0.00164,0
1000,928,-0.00373,-0.00164,0
1000,929,-0.00373,-0.00164,0
1000,930,-0.00373,-0.00164,0
1000,931,-0.00373,-0.00164,0
1000,932,-0.00373,-0.00164,0
1000,933,-0.00373,-0.00164,0
1000,934,-0.00373,-0.00164,0
1000,935,-0.00373,-0.00164,0
1000,936,-0.00373,-0.00164,0
1000,937,-0.00373,-0.00164,0
1000,938,-0.00373,-0.00164,0
1000,939,-0.00373,-0.00164,0
1000,940,-0.00373,-0.00164,0
1000,941,-0.00373,-0.00164,0
1000,942,-0.00373,-0.00164,0
1000,943,-0.00373,-0.00164,0
1000,944,-0.00373,-0.00164,0
1000,945,-0.00373,-0.00164,0
1000,946,-0.00373,-0.00164,0
1000,947,-0.00373,-0.00164,0
1000,948,-0.00373,-0.00164,0
1000,949,-0.00373,-0.00164,0
1000,950,-0.00373,-0.00164,0
1000,951,-0.00373,-0.00164,0
1000,952,-0.00373,-0.00164,0
1000,953,-0.00373,-0.00164,0
1000,954,-0.00373,-0.00164,0
1000,955,-0.00373,-0.00164,0
1000,956,-0.00373,-0.00164,0
1000,957,-0.00373,-0.00164,0
1000,958,-0.00373,-0.00164,0
1000,959,-0.00373,-0.00164,0
1000,960,-0.00373,-0.00164,0
1000,961,-0.00373,-0.00164,0
1000,962,-0.00373,-0.00164,0
1000,963,-0.00373,-0.00164,0
1000,964,-0.00373,-0.00164,0
1000,965,-0.00373,-0.00164,0
1000,966,-0.00373,-0.00164,0
1000,967,-0.00373,-0.00164,0
1000,968,-0.00373,-0.00164,0
1000,969,-0.00373,-0.00164,0
1000,970,-0.00373,-0.00164,0
1000,971,-0.00373,-0.00164,0
1000,972,-0.00373,-0.00164,0
1000,973,-0.00373,-0.00164,0
1000,974,-0.00373,-0.00164,0
1000,975,-0.00373,-0.00164,0
1000,976,-0.00373,-0.00164,0
1000,977,-0.00373,-0.00164,0
1000,978,-0.00373,-0.00164,0
1000,979,-0.00373,-0.00164,0
1000,980,-0.00373,-0.00164,0
1000,981,-0.00373,-0.00164,0
1000,982,-0.00373,-0.00164,0
1000,983,-0.00373,-0.00164,0
1000,984,-0.00373,-0.00164,0
1000,985,-0.00373,-0.00164,0
1000,986,-0.00373,-0.00164,0
1000,987,-0.00373,-0.00164,0
1000,988,-0.00373,-0.00164,0
1000,989,-0.00373,-0.00164,0
1000,990,-0.00373,-0.00164,0
1000,991,-0.00373,-0.00164,0
1000,992,-0.00373,-0.00164,0
1000,993,-0.00373,-0.00164,0
1000,994,-0.00373,-0.00164,0
1000,995,-0.00373,-0.00164,0
1000,996,-0.00373,-0.00164,0
1000,997,-0.00373,-0.00164,0
1000,998,-0.00373,-0.00164,0
1000,999,-0.00373,-0.00164,0
