# time=50000
x1 y1 x2 y2 aperture velocity
-0.05 0 -0.049 0 0.00100165 9.99195e-07
-0.049 0 -0.048 0 0.00100157 9.99271e-07
-0.048 0 -0.047 0 0.0010015 9.99344e-07
-0.047 0 -0.046 0 0.00100143 9.99415e-07
-0.046 0 -0.045 0 0.00100136 9.99482e-07
-0.045 0 -0.044 0 0.00100129 9.99547e-07
-0.044 0 -0.043 0 0.00100123 9.9961e-07
-0.043 0 -0.042 0 0.00100117 9.9967e-07
-0.042 0 -0.041 0 0.00100111 9.99728e-07
-0.041 0 -0.04 0 0.00100105 9.99783e-07
-0.04 0 -0.039 0 0.001001 9.99836e-07
-0.039 0 -0.038 0 0.00100095 9.99887e-07
-0.038 0 -0.037 0 0.0010009 9.99937e-07
-0.037 0 -0.036 0 0.00100085 9.99984e-07
-0.036 0 -0.035 0 0.0010008 1.00003e-06
-0.035 0 -0.034 0 0.00100076 1.00007e-06
-0.034 0 -0.033 0 0.00100072 1.00011e-06
-0.033 0 -0.032 0 0.00100068 1.00015e-06
-0.032 0 -0.031 0 0.00100064 1.00019e-06
-0.031 0 -0.03 0 0.0010006 1.00023e-06
-0.03 0 -0.029 0 0.00100057 1.00026e-06
-0.029 0 -0.028 0 0.00100053 1.0003e-06
-0.028 0 -0.027 0 0.0010005 1.00033e-06
-0.027 0 -0.026 0 0.00100047 1.00036e-06
-0.026 0 -0.025 0 0.00100044 1.00039e-06
-0.025 0 -0.024 0 0.00100041 1.00042e-06
-0.024 0 -0.023 0 0.00100038 1.00045e-06
-0.023 0 -0.022 0 0.00100035 1.00047e-06
-0.022 0 -0.021 0 0.00100033 1.0005e-06
-0.021 0 -0.02 0 0.0010003 1.00052e-06
-0.02 0 -0.019 0 0.00100028 1.00054e-06
-0.019 0 -0.018 0 0.00100026 1.00056e-06
-0.018 0 -0.017 0 0.00100024 1.00058e-06
-0.017 0 -0.016 0 0.00100022 1.0006e-06
-0.016 0 -0.015 0 0.0010002 1.00062e-06
-0.015 0 -0.014 0 0.00100018 1.00064e-06
-0.014 0 -0.013 0 0.00100016 1.00066e-06
-0.013 0 -0.012 0 0.00100015 1.00067e-06
-0.012 0 -0.011 0 0.00100013 1.00069e-06
-0.011 0 -0.01 0 0.00100012 1.0007e-06
-0.01 0 -0.009 0 0.0010001 1.00072e-06
-0.009 0 -0.008 0 0.00100009 1.00073e-06
-0.008 0 -0.007 0 0.00100007 1.00075e-06
-0.007 0 -0.006 0 0.00100006 1.00076e-06
-0.006 0 -0.005 0 0.00100005 1.00077e-06
-0.005 0 -0.004 0 0.00100004 1.00078e-06
-0.004 0 -0.003 0 0.00100003 1.00079e-06
-0.003 0 -0.002 0 0.00100002 1.0008e-06
-0.002 0 -0.001 0 0.00100001 1.00081e-06
-0.001 0 -8.67362e-19 0 0.001 1.00081e-06
0 0 0.001 0 0.001 1.00081e-06
0.001 0 0.002 0 0.001 1.00081e-06
0.002 0 0.003 0 0.001 1.00081e-06
0.003 0 0.004 0 0.001 1.00081e-06
0.004 0 0.005 0 0.001 1.00081e-06
0.005 0 0.006 0 0.001 1.00081e-06
0.006 0 0.007 0 0.001 1.00081e-06
0.007 0 0.008 0 0.001 1.00081e-06
0.008 0 0.009 0 0.001 1.00081e-06
0.009 0 0.01 0 0.001 1.00081e-06
0.01 0 0.011 0 0.001 1.00081e-06
0.011 0 0.012 0 0.001 1.00081e-06
0.012 0 0.013 0 0.001 1.00081e-06
0.013 0 0.014 0 0.001 1.00081e-06
0.014 0 0.015 0 0.001 1.00081e-06
0.015 0 0.016 0 0.001 1.00081e-06
0.016 0 0.017 0 0.001 1.00081e-06
0.017 0 0.018 0 0.001 1.00081e-06
0.018 0 0.019 0 0.001 1.00081e-06
0.019 0 0.02 0 0.001 1.00081e-06
0.02 0 0.021 0 0.001 1.00081e-06
0.021 0 0.022 0 0.001 1.00081e-06
0.022 0 0.023 0 0.001 1.00081e-06
0.023 0 0.024 0 0.001 1.00081e-06
0.024 0 0.025 0 0.001 1.00081e-06
0.025 0 0.026 0 0.001 1.00081e-06
0.026 0 0.027 0 0.001 1.00081e-06
0.027 0 0.028 0 0.001 1.00081e-06
0.028 0 0.029 0 0.001 1.00081e-06
0.029 0 0.03 0 0.001 1.00081e-06
0.03 0 0.031 0 0.001 1.00081e-06
0.031 0 0.032 0 0.001 1.00081e-06
0.032 0 0.033 0 0.001 1.00081e-06
0.033 0 0.034 0 0.001 1.00081e-06
0.034 0 0.035 0 0.001 1.00081e-06
0.035 0 0.036 0 0.001 1.00081e-06
0.036 0 0.037 0 0.001 1.00081e-06
0.037 0 0.038 0 0.001 1.00081e-06
0.038 0 0.039 0 0.001 1.00081e-06
0.039 0 0.04 0 0.001 1.00081e-06
0.04 0 0.041 0 0.001 1.00081e-06
0.041 0 0.042 0 0.001 1.00081e-06
0.042 0 0.043 0 0.001 1.00081e-06
0.043 0 0.044 0 0.001 1.00081e-06
0.044 0 0.045 0 0.001 1.00081e-06
0.045 0 0.046 0 0.001 1.00081e-06
0.046 0 0.047 0 0.001 1.00081e-06
0.047 0 0.048 0 0.001 1.00081e-06
0.048 0 0.049 0 0.001 1.00081e-06
0.049 0 0.05 0 0.001 1.00081e-06
