# time=80000
x1 y1 x2 y2 aperture velocity
-0.05 0 -0.049 0 0.00100266 9.99104e-07
-0.049 0 -0.048 0 0.00100256 9.99208e-07
-0.048 0 -0.047 0 0.00100246 9.99307e-07
-0.047 0 -0.046 0 0.00100236 9.99404e-07
-0.046 0 -0.045 0 0.00100226 9.99496e-07
-0.045 0 -0.044 0 0.00100217 9.99586e-07
-0.044 0 -0.043 0 0.00100209 9.99672e-07
-0.043 0 -0.042 0 0.001002 9.99755e-07
-0.042 0 -0.041 0 0.00100192 9.99835e-07
-0.041 0 -0.04 0 0.00100184 9.99913e-07
-0.04 0 -0.039 0 0.00100177 9.99987e-07
-0.039 0 -0.038 0 0.0010017 1.00006e-06
-0.038 0 -0.037 0 0.00100163 1.00013e-06
-0.037 0 -0.036 0 0.00100156 1.00019e-06
-0.036 0 -0.035 0 0.00100149 1.00026e-06
-0.035 0 -0.034 0 0.00100143 1.00032e-06
-0.034 0 -0.033 0 0.00100137 1.00038e-06
-0.033 0 -0.032 0 0.00100131 1.00044e-06
-0.032 0 -0.031 0 0.00100126 1.00049e-06
-0.031 0 -0.03 0 0.0010012 1.00055e-06
-0.03 0 -0.029 0 0.00100115 1.0006e-06
-0.029 0 -0.028 0 0.0010011 1.00065e-06
-0.028 0 -0.027 0 0.00100105 1.00069e-06
-0.027 0 -0.026 0 0.00100101 1.00074e-06
-0.026 0 -0.025 0 0.00100096 1.00078e-06
-0.025 0 -0.024 0 0.00100092 1.00083e-06
-0.024 0 -0.023 0 0.00100088 1.00087e-06
-0.023 0 -0.022 0 0.00100084 1.00091e-06
-0.022 0 -0.021 0 0.0010008 1.00095e-06
-0.021 0 -0.02 0 0.00100076 1.00098e-06
-0.02 0 -0.019 0 0.00100073 1.00102e-06
-0.019 0 -0.018 0 0.00100069 1.00105e-06
-0.018 0 -0.017 0 0.00100066 1.00108e-06
-0.017 0 -0.016 0 0.00100063 1.00111e-06
-0.016 0 -0.015 0 0.0010006 1.00114e-06
-0.015 0 -0.014 0 0.00100057 1.00117e-06
-0.014 0 -0.013 0 0.00100054 1.0012e-06
-0.013 0 -0.012 0 0.00100051 1.00123e-06
-0.012 0 -0.011 0 0.00100049 1.00125e-06
-0.011 0 -0.01 0 0.00100046 1.00128e-06
-0.01 0 -0.009 0 0.00100044 1.0013e-06
-0.009 0 -0.008 0 0.00100042 1.00132e-06
-0.008 0 -0.007 0 0.0010004 1.00134e-06
-0.007 0 -0.006 0 0.00100037 1.00136e-06
-0.006 0 -0.005 0 0.00100035 1.00138e-06
-0.005 0 -0.004 0 0.00100034 1.0014e-06
-0.004 0 -0.003 0 0.00100032 1.00142e-06
-0.003 0 -0.002 0 0.0010003 1.00144e-06
-0.002 0 -0.001 0 0.00100028 1.00146e-06
-0.001 0 -8.67362e-19 0 0.00100027 1.00147e-06
0 0 0.001 0 0.00100025 1.00149e-06
0.001 0 0.002 0 0.00100023 1.0015e-06
0.002 0 0.003 0 0.00100022 1.00152e-06
0.003 0 0.004 0 0.00100021 1.00153e-06
0.004 0 0.005 0 0.00100019 1.00154e-06
0.005 0 0.006 0 0.00100018 1.00156e-06
0.006 0 0.007 0 0.00100017 1.00157e-06
0.007 0 0.008 0 0.00100016 1.00158e-06
0.008 0 0.009 0 0.00100015 1.00159e-06
0.009 0 0.01 0 0.00100013 1.0016e-06
0.01 0 0.011 0 0.00100012 1.00161e-06
0.011 0 0.012 0 0.00100011 1.00162e-06
0.012 0 0.013 0 0.00100011 1.00163e-06
0.013 0 0.014 0 0.0010001 1.00164e-06
0.014 0 0.015 0 0.00100009 1.00165e-06
0.015 0 0.016 0 0.00100008 1.00165e-06
0.016 0 0.017 0 0.00100007 1.00166e-06
0.017 0 0.018 0 0.00100007 1.00167e-06
0.018 0 0.019 0 0.00100006 1.00168e-06
0.019 0 0.02 0 0.00100005 1.00168e-06
0.02 0 0.021 0 0.00100005 1.00169e-06
0.021 0 0.022 0 0.00100004 1.0017e-06
0.022 0 0.023 0 0.00100003 1.0017e-06
0.023 0 0.024 0 0.00100003 1.00171e-06
0.024 0 0.025 0 0.00100002 1.00171e-06
0.025 0 0.026 0 0.00100002 1.00172e-06
0.026 0 0.027 0 0.00100001 1.00172e-06
0.027 0 0.028 0 0.00100001 1.00173e-06
0.028 0 0.029 0 0.001 1.00173e-06
0.029 0 0.03 0 0.001 1.00173e-06
0.03 0 0.031 0 0.001 1.00173e-06
0.031 0 0.032 0 0.001 1.00173e-06
0.032 0 0.033 0 0.001 1.00173e-06
0.033 0 0.034 0 0.001 1.00173e-06
0.034 0 0.035 0 0.001 1.00173e-06
0.035 0 0.036 0 0.001 1.00173e-06
0.036 0 0.037 0 0.001 1.00173e-06
0.037 0 0.038 0 0.001 1.00173e-06
0.038 0 0.039 0 0.001 1.00173e-06
0.039 0 0.04 0 0.001 1.00173e-06
0.04 0 0.041 0 0.001 1.00173e-06
0.041 0 0.042 0 0.001 1.00173e-06
0.042 0 0.043 0 0.001 1.00173e-06
0.043 0 0.044 0 0.001 1.00173e-06
0.044 0 0.045 0 0.001 1.00173e-06
0.045 0 0.046 0 0.001 1.00173e-06
0.046 0 0.047 0 0.001 1.00173e-06
0.047 0 0.048 0 0.001 1.00173e-06
0.048 0 0.049 0 0.001 1.00173e-06
0.049 0 0.05 0 0.001 1.00173e-06
