time,particle_id,x,y,mesh_index
1000,900,-999,-999,-1
1000,901,-999,-999,-1
1000,902,-999,-999,-1
1000,903,-999,-999,-1
1000,904,-999,-999,-1
1000,905,-999,-999,-1
1000,906,-999,-999,-1
1000,907,-999,-999,-1
1000,908,-999,-999,-1
1000,909,-999,-999,-1
1000,910,-999,-999,-1
1000,911,-999,-999,-1
1000,912,-999,-999,-1
1000,913,-999,-999,-1
1000,914,-999,-999,-1
1000,915,-999,-999,-1
1000,916,-999,-999,-1
1000,917,-999,-999,-1
1000,918,-999,-999,-1
1000,919,-999,-999,-1
1000,920,-999,-999,-1
1000,921,-999,-999,-1
1000,922,-999,-999,-1
1000,923,-999,-999,-1
1000,924,-999,-999,-1
1000,925,-999,-999,-1
1000,926,-999,-999,-1
1000,927,-999,-999,-1
1000,928,-999,-999,-1
1000,929,-999,-999,-1
1000,930,-999,-999,-1
1000,931,-999,-999,-1
1000,932,-999,-999,-1
1000,933,-999,-999,-1
1000,934,-999,-999,-1
1000,935,-999,-999,-1
1000,936,-999,-999,-1
1000,937,-999,-999,-1
1000,938,-999,-999,-1
1000,939,-999,-999,-1
1000,940,-999,-999,-1
1000,941,-999,-999,-1
1000,942,-999,-999,-1
1000,943,-999,-999,-1
1000,944,-999,-999,-1
1000,945,-999,-999,-1
1000,946,-999,-999,-1
1000,947,-999,-999,-1
1000,948,-999,-999,-1
1000,949,-999,-999,-1
1000,950,-999,-999,-1
1000,951,-999,-999,-1
1000,952,-999,-999,-1
1000,953,-999,-999,-1
1000,954,-999,-999,-1
1000,955,-999,-999,-1
1000,956,-999,-999,-1
1000,957,-999,-999,-1
1000,958,-999,-999,-1
1000,959,-999,-999,-1
1000,960,-999,-999,-1
1000,961,-999,-999,-1
1000,962,-999,-999,-1
1000,963,-999,-999,-1
1000,964,-999,-999,-1
1000,965,-999,-999,-1
1000,966,-999,-999,-1
1000,967,-999,-999,-1
1000,968,-999,-999,-1
1000,969,-999,-999,-1
1000,970,-999,-999,-1
1000,971,-999,-999,-1
1000,972,-999,-999,-1
1000,973,-999,-999,-1
1000,974,-999,-999,-1
1000,975,-999,-999,-1
1000,976,-999,-999,-1
1000,977,-999,-999,-1
1000,978,-999,-999,-1
1000,979,-999,-999,-1
1000,980,-999,-999,-1
1000,981,-999,-999,-1
1000,982,-999,-999,-1
1000,983,-999,-999,-1
1000,984,-999,-999,-1
1000,985,-999,-999,-1
1000,986,-999,-999,-1
1000,987,-999,-999,-1
1000,988,-999,-999,-1
1000,989,-999,-999,-1
1000,990,-999,-999,-1
1000,991,-999,-999,-1
1000,992,-999,-999,-1
1000,993,-999,-999,-1
1000,994,-999,-999,-1
1000,995,-999,-999,-1
1000,996,-999,-999,-1
1000,997,-999,-999,-1
1000,998,-999,-999,-1
1000,999,-999,-999,-1
