# time=600000
x1 y1 x2 y2 aperture velocity
0.0443843 -0.00631477 0.05 -0.010437 6.06253e-05 0.0327118
0.0440694 -0.0250904 0.05 -0.0303778 0.000166895 0.421377
-0.05 0.000316541 -0.04286 -0.00160796 2.22582e-05 0.00353494
-0.05 -0.0312056 -0.04959 -0.0314953 0.000336993 0.395139
0.0474957 0.00801726 0.05 0.0066314 0.000135857 0.2929
0.0458809 0.000579001 0.05 -0.00302134 0.000229667 0.558754
-0.05 0.0299759 -0.0423835 0.0272751 0.000129727 0.119552
-0.05 -0.0125039 -0.0419318 -0.0146018 4.557e-05 0.0136492
0.0450408 -0.0429945 0.05 -0.0416201 0.000100758 0.24788
0.0477065 0.0302897 0.05 0.0347524 3.30499e-05 0.0127839
-0.05 -0.043985 -0.0489825 -0.0437807 0.000111127 0.0414457
-0.05 0.0229315 -0.0399407 0.0178426 3.11145e-05 0.00647324
-0.05 0.0272741 -0.046455 0.0239504 0.000136991 0.102518
-0.05 -0.00702845 -0.0488496 -0.00688577 9.47979e-05 0.0648915
0.0497351 -0.0141077 0.05 -0.014426 2.97977e-05 0.00798545
0.0490599 0.0294953 0.05 0.0313998 7.63035e-05 0.0844551
-0.05 0.025353 -0.046455 0.0239504 0.00011701 0.0953342
-0.05 0.0444191 -0.0461801 0.0430894 0.000235913 0.429352
-0.05 0.0366396 -0.0228218 0.0300215 0.00011736 0.107492
-0.05 0.0132453 -0.0320246 0.00808241 6.46759e-05 0.0298865
-0.05 0.00378124 -0.039767 0.00115824 2.26532e-05 0.00368178
0.0487448 0.0137711 0.05 0.0195529 7.64065e-05 0.0398584
-0.05 -0.0286948 -0.0496576 -0.0281995 4.88291e-05 0.00812103
-0.05 -0.0319792 -0.04959 -0.0314953 0.000240742 0.159645
-0.05 0.0181997 -0.0357353 0.0138996 0.000365411 0.958507
-0.05 -0.027879 -0.0496576 -0.0281995 0.000102473 0.0459122
-0.05 -0.00799343 -0.0488104 -0.00692954 0.000172828 0.162009
-0.05 -0.00560268 -0.0488496 -0.00688577 4.70573e-05 0.0107557
0.0487448 0.0137711 0.05 0.0125904 7.71129e-05 0.139392
-0.05 -0.0440359 -0.0489825 -0.0437807 9.49983e-05 0.0299645
-0.05 -0.0299924 -0.048906 -0.0306882 0.000111005 0.056796
-0.05 0.0415005 -0.0461801 0.0430894 3.30736e-05 0.00825055
0.0453562 -0.0476437 0.05 -0.044689 8.60457e-05 0.167985
-0.05 -0.00877678 -0.0433793 -0.0129873 2.93384e-05 0.00491239
-0.05 0.0282563 -0.0448113 0.0233 9.3618e-05 0.0475294
-0.05 0.0205776 -0.0374354 0.0154937 8.4088e-05 0.0491415
0.0490599 0.0294953 0.05 0.0289434 3.81192e-05 0.0410676
0.0429283 0.0469867 0.05 0.046622 3.09266e-05 0.0255616
-0.05 0.0460933 -0.0454404 0.043397 0.000393935 1.08876
-0.0228246 0.0430204 -0.0224412 0.042739 8.38052e-05 0.0231759
-0.0224412 0.042739 -0.0228816 0.0437668 0.00016005 0.0340381
0.0101839 0.0187903 0.0232593 0.00919225 5.30239e-05 0.0139281
0.0205138 0.0170522 0.0232593 0.00919225 0.000375853 0.839588
0.0348415 0.000690202 0.0369482 -0.000856241 5.81651e-05 0.0328706
0.0369482 -0.000856241 0.0394415 -0.00174035 0.000151458 0.227088
0.0369482 -0.000856241 0.0414656 -0.00417222 5.95281e-05 0.0300932
0.0394415 -0.00174035 0.0414656 -0.00417222 3.02539e-05 0.00619095
0.0414656 -0.00417222 0.0443843 -0.00631477 5.88389e-05 0.0305532
0.0441494 -0.00739678 0.0443843 -0.00631477 9.33233e-05 0.0145001
-0.0221296 0.0339296 -0.0165246 0.0289324 0.000330241 0.494973
-0.0184557 0.0334386 -0.0165246 0.0289324 0.000163355 0.0288255
0.0438103 -0.0248594 0.0439864 -0.0250164 0.00016822 0.415901
0.0439864 -0.0250164 0.0441792 -0.0250683 2.5655e-05 0.0127703
0.0439864 -0.0250164 0.0440694 -0.0250904 0.000167782 0.417057
0.0440694 -0.0250904 0.0441792 -0.0250683 0.000125853 0.314895
0.0017112 -0.0136216 -0.000285636 -0.00896189 0.000109979 0.00761666
0.0017112 -0.0136216 0.0051786 -0.0145562 2.3257e-05 0.00348071
0.00787526 -0.0280057 0.00765677 -0.0274958 0.000117723 0.000389585
