metric	case_a	case_b	max_abs_diff
CDF	Np1	Np4	0.0001781
PDF	Np1	Np4	6.479798e-06
CDF	Np1	Np2	0.00019015
PDF	Np1	Np2	6.839786e-06
CDF	Np1	V4	0.0001585
PDF	Np1	V4	6.0478e-06
CDF	Np4	Np2	0.0001101
PDF	Np4	Np2	2.53846e-06
CDF	Np4	V4	7.54e-05
PDF	Np4	V4	1.75487e-06
CDF	Np2	V4	8.34e-05
PDF	Np2	V4	1.010236e-06
