plot_label	case_dir	count	mean_delta_b	length_weighted_mean_delta_b	median_delta_b	p90_delta_b	max_delta_b	changed_fraction	length_weighted_changed_fraction	top10pct_contribution_share
P=1e-4, tg=1 s	tg1	4394	4.56519940828e-06	5.28858337073e-06	2.015e-06	1.14199e-05	0.00012	0.876422394174	0.844146175809	0.579280490221
P=1e-4, tg=10 s	tg2	4407	4.5688367597e-06	5.34467086625e-06	2.107e-06	1.17472e-05	0.000111768	0.884048105287	0.857454819798	0.574991966773
P=1e-4, tg=100 s	V4	4446	4.53970076473e-06	5.27422143568e-06	2.057e-06	1.1346e-05	0.000116279	0.891138101664	0.866791544315	0.567164143637
P=1e-4, tg=1000 s	tg4	4464	4.52110477151e-06	5.23115240917e-06	2.05645e-06	1.13636e-05	0.000116294	0.883288530466	0.859022965588	0.568450685324
