plot_label	case_dir	x_fraction_segments	cumulative_contribution_share
P=1e-4, tg=1 s	tg1	0.859808830223	0.999997644317
P=1e-4, tg=1 s	tg1	0.869822485207	0.999999380142
P=1e-4, tg=1 s	tg1	0.879836140191	1
P=1e-4, tg=1 s	tg1	0.889849795175	1
P=1e-4, tg=1 s	tg1	0.899863450159	1
P=1e-4, tg=1 s	tg1	0.909877105143	1
P=1e-4, tg=1 s	tg1	0.919890760127	1
P=1e-4, tg=1 s	tg1	0.929904415112	1
P=1e-4, tg=1 s	tg1	0.939918070096	1
P=1e-4, tg=1 s	tg1	0.94993172508	1
P=1e-4, tg=1 s	tg1	0.959945380064	1
P=1e-4, tg=1 s	tg1	0.969959035048	1
P=1e-4, tg=1 s	tg1	0.979972690032	1
P=1e-4, tg=1 s	tg1	0.989986345016	1
P=1e-4, tg=1 s	tg1	1	1
P=1e-4, tg=10 s	tg2	0	0
P=1e-4, tg=10 s	tg2	0.00998411617881	0.195537771862
P=1e-4, tg=10 s	tg2	0.0199682323576	0.263278741769
P=1e-4, tg=10 s	tg2	0.0299523485364	0.343179596594
P=1e-4, tg=10 s	tg2	0.0399364647152	0.376349441429
P=1e-4, tg=10 s	tg2	0.049920580894	0.417350947364
P=1e-4, tg=10 s	tg2	0.0599046970728	0.445942001874
P=1e-4, tg=10 s	tg2	0.0698888132516	0.476731533036
P=1e-4, tg=10 s	tg2	0.0798729294305	0.505993118415
P=1e-4, tg=10 s	tg2	0.0898570456093	0.538119096286
P=1e-4, tg=10 s	tg2	0.0998411617881	0.574694491203
P=1e-4, tg=10 s	tg2	0.109825277967	0.594433644117
P=1e-4, tg=10 s	tg2	0.119809394146	0.615184304506
P=1e-4, tg=10 s	tg2	0.129793510324	0.632558825425
P=1e-4, tg=10 s	tg2	0.139777626503	0.654660558365
P=1e-4, tg=10 s	tg2	0.149988654413	0.671292293411
P=1e-4, tg=10 s	tg2	0.159972770592	0.68935853278
P=1e-4, tg=10 s	tg2	0.169956886771	0.70326112302
P=1e-4, tg=10 s	tg2	0.17994100295	0.717932218655
P=1e-4, tg=10 s	tg2	0.189925119129	0.73626216555
P=1e-4, tg=10 s	tg2	0.199909235307	0.750433111483
P=1e-4, tg=10 s	tg2	0.209893351486	0.762583408295
P=1e-4, tg=10 s	tg2	0.219877467665	0.773306739
P=1e-4, tg=10 s	tg2	0.229861583844	0.783795284926
P=1e-4, tg=10 s	tg2	0.239845700023	0.79202020994
P=1e-4, tg=10 s	tg2	0.249829816201	0.801252381412
P=1e-4, tg=10 s	tg2	0.25981393238	0.811584834365
P=1e-4, tg=10 s	tg2	0.269798048559	0.820309168616
P=1e-4, tg=10 s	tg2	0.279782164738	0.829454703333
P=1e-4, tg=10 s	tg2	0.289993192648	0.839260764491
P=1e-4, tg=10 s	tg2	0.299977308827	0.846969968769
P=1e-4, tg=10 s	tg2	0.309961425006	0.856852291899
P=1e-4, tg=10 s	tg2	0.319945541184	0.862870241874
P=1e-4, tg=10 s	tg2	0.329929657363	0.870224022355
P=1e-4, tg=10 s	tg2	0.339913773542	0.876001877606
P=1e-4, tg=10 s	tg2	0.349897889721	0.881605470089
P=1e-4, tg=10 s	tg2	0.3598820059	0.887166463149
P=1e-4, tg=10 s	tg2	0.369866122079	0.892293835654
P=1e-4, tg=10 s	tg2	0.379850238257	0.899056089272
P=1e-4, tg=10 s	tg2	0.389834354436	0.903728313686
