plot_label	case_dir	count	mean_delta_b	length_weighted_mean_delta_b	median_delta_b	p90_delta_b	max_delta_b	changed_fraction	length_weighted_changed_fraction	top10pct_contribution_share
P=1e-4, Np=1e4	Np1	4445	4.58001804274e-06	5.05479187366e-06	1.38e-06	1.2603e-05	0.00015	0.778177727784	0.729171853727	0.6377569858
P=1e-4, Np=5e4	Np4	4445	4.52619502812e-06	5.22257944187e-06	2.01e-06	1.1331e-05	0.000120002	0.863892013498	0.835825331793	0.575333628277
P=1e-4, Np=1e5	Np2	4447	4.52801020913e-06	5.28836300065e-06	2.07e-06	1.16828e-05	0.000111819	0.879919046548	0.854256345685	0.576654246351
P=1e-4, Np=1e6	V4	4446	4.53970076473e-06	5.27422143568e-06	2.057e-06	1.1346e-05	0.000116279	0.891138101664	0.866791544315	0.567164143637
