metric	case_a	case_b	max_abs_diff
CDF	tg1	tg2	6.6e-05
PDF	tg1	tg2	5.0775e-07
CDF	tg1	V4	8.69999999999e-05
PDF	tg1	V4	3.51015e-07
CDF	tg1	tg4	0.000124
PDF	tg1	tg4	5.664997e-07
CDF	tg2	V4	0.000106
PDF	tg2	V4	5.26521e-07
CDF	tg2	tg4	0.000169
PDF	tg2	tg4	5.93841e-07
CDF	V4	tg4	6.3e-05
PDF	V4	tg4	4.75692e-07
